	"BIO1755497.NGN2.12nM"	"BIO2006152.NGN2.45nM"	"BIO2059811.NGN2.261nM"	"BIO2135644.NGN2.300nM"	"BIO1755497.iPSC.40nM"	"BIO2006152.iPSC.45nM"	"BIO2059811.iPSC.261nM"	"BIO2135644.iPSC.300nM"
"ARL15"	1	1	1	1	1	1	1	1
"C12orf4"	1	1	1	1	1	1	1	1
"CLASP2"	1	1	1	1	1	1	1	1
"EXOC6B"	1	1	1	1	1	1	1	1
"HDX"	1	1	1	1	1	1	1	1
"KDM6A"	1	1	1	1	1	1	1	1
"LARP7"	1	1	1	1	1	1	1	1
"LINC02210"	1	1	1	1	1	1	1	1
"LRRC42"	1	1	1	1	1	1	1	1
"PDE7A"	1	1	1	1	1	1	1	1
"POMT2"	1	1	1	1	1	1	1	1
"RAF1"	1	1	1	1	1	1	1	1
"SENP6"	1	1	1	1	1	1	1	1
"STRN3"	1	1	1	1	1	1	1	1
"TAF2"	1	1	1	1	1	1	1	1
"ZFP82"	1	1	1	1	1	1	1	1
"ABCB8"	1	1	1	1	1	1	0	1
"AXIN1"	1	1	1	1	1	0	1	1
"FAAP20"	1	1	1	1	1	0	1	1
"HTT"	1	1	1	1	1	0	1	1
"MYCBP2"	1	1	1	1	1	1	0	1
"SKP1"	1	1	1	1	1	1	0	1
"TENT2"	1	1	1	1	1	0	1	1
"TIAM1"	1	1	1	1	1	0	1	1
"VPS29"	0	1	1	1	1	1	1	1
"AC009022.1"	0	0	1	1	1	1	1	1
"ASCC3"	1	1	1	1	0	0	1	1
"CACNA1H"	0	1	1	1	1	0	1	1
"DLGAP4"	1	1	1	1	1	0	0	1
"MATK"	0	1	1	1	0	1	1	1
"NUP58"	1	1	0	1	1	1	0	1
"SLC25A17"	1	1	1	1	0	0	1	1
"TPTEP2"	0	0	1	1	1	1	1	1
"ZNF618"	0	0	1	1	1	1	1	1
"APIP"	0	1	1	1	0	0	1	1
"APLP2"	0	1	1	1	0	0	1	1
"CHD9"	0	0	1	1	1	0	1	1
"DENND5A"	0	1	1	1	0	0	1	1
"DHFR"	1	1	1	1	0	0	0	1
"ENAH"	0	1	1	1	0	0	1	1
"GALC"	0	1	1	1	0	0	1	1
"GCFC2"	0	1	1	1	0	0	1	1
"GGCT"	0	1	1	1	0	0	1	1
"PDXDC2P"	0	0	1	1	1	0	1	1
"PNISR"	0	1	1	1	1	0	0	1
"SLC7A6"	0	1	1	1	0	0	1	1
"STX18-AS1"	0	1	1	1	0	0	1	1
"TSPAN7"	0	1	1	1	0	0	1	1
"WDR27"	1	1	1	1	0	0	0	1
"XRN2"	1	1	1	1	0	0	0	1
"ADAM17"	1	1	1	1	0	0	0	0
"ARMH3"	1	1	1	1	0	0	0	0
"ASAP1"	0	0	0	0	1	1	1	1
"CDC37L1"	0	0	1	1	0	0	1	1
"CLN3"	0	1	1	1	0	0	0	1
"DENND1A"	1	1	1	1	0	0	0	0
"EMSY"	0	0	1	1	0	0	1	1
"ERGIC3"	0	0	0	0	1	1	1	1
"FAM162A"	0	0	1	1	0	0	1	1
"FAM174A"	0	0	1	1	0	0	1	1
"FGF12"	0	0	1	1	0	0	1	1
"FOXM1"	0	0	0	0	1	1	1	1
"GRAMD2B"	0	0	0	0	1	1	1	1
"GXYLT1"	1	1	1	1	0	0	0	0
"KLHL1"	1	1	1	1	0	0	0	0
"LIMCH1"	1	1	1	1	0	0	0	0
"LYRM1"	0	1	0	1	1	0	0	1
"MADD"	0	0	0	0	1	1	1	1
"MELTF"	1	1	1	1	0	0	0	0
"MFN2"	0	0	1	1	0	0	1	1
"NAV2"	0	0	0	0	1	1	1	1
"RAB2B"	0	0	1	1	0	0	1	1
"RAP1A"	0	0	1	1	0	0	1	1
"RBBP8"	1	1	1	1	0	0	0	0
"RCC1"	0	1	0	1	1	0	0	1
"SERGEF"	1	1	1	1	0	0	0	0
"SETX"	1	1	1	1	0	0	0	0
"STRN"	1	1	1	1	0	0	0	0
"WDR17"	1	1	1	1	0	0	0	0
"WNK3"	0	0	1	1	0	0	1	1
"ZMIZ2"	0	0	1	1	0	0	1	1
"ZMYM6"	0	1	1	1	0	0	0	1
"AC026786.1"	1	0	1	1	0	0	0	0
"AC138894.1"	0	1	1	1	0	0	0	0
"ADAMTS19"	0	0	0	0	1	1	0	1
"AL031315.1"	0	1	1	1	0	0	0	0
"BECN1"	0	0	0	1	1	0	0	1
"C14orf132"	0	1	0	1	0	0	0	1
"CACNA1C"	1	0	1	1	0	0	0	0
"CACNB4"	1	1	0	1	0	0	0	0
"CNGA3"	0	1	1	1	0	0	0	0
"CSTF3"	1	1	0	1	0	0	0	0
"ERCC8"	1	0	1	1	0	0	0	0
"EVC"	0	1	1	1	0	0	0	0
"EXTL2"	0	0	0	1	0	0	1	1
"FBN2"	0	0	0	0	0	1	1	1
"FGD4"	1	0	1	1	0	0	0	0
"HSD17B4"	0	0	0	0	1	0	1	1
"KCNT2"	0	0	0	0	0	1	1	1
"LRIG2"	0	1	1	1	0	0	0	0
"MLLT10"	0	0	1	1	0	0	0	1
"MMS22L"	0	0	0	0	1	0	1	1
"NKAIN2"	0	1	1	1	0	0	0	0
"NOD1"	0	0	0	0	1	0	1	1
"PCDH10"	0	1	1	1	0	0	0	0
"PRUNE2"	0	1	1	1	0	0	0	0
"RAPGEF1"	0	1	1	1	0	0	0	0
"SAR1A"	0	0	0	0	0	1	1	1
"SF3B1"	1	1	0	1	0	0	0	0
"SPIDR"	0	0	0	0	1	0	1	1
"STXBP5L"	1	0	1	1	0	0	0	0
"SULF1"	0	1	1	1	0	0	0	0
"TET1"	1	0	1	1	0	0	0	0
"TMEM50B"	1	1	0	1	0	0	0	0
"ABHD10"	0	0	0	0	0	0	1	1
"AC010538.1"	0	0	1	1	0	0	0	0
"AC068205.2"	0	0	1	1	0	0	0	0
"AC114490.2"	0	0	1	1	0	0	0	0
"ADAMTS10"	0	0	1	1	0	0	0	0
"ADGRL1"	0	0	1	1	0	0	0	0
"AGPS"	0	0	1	1	0	0	0	0
"AKAP9"	0	0	1	1	0	0	0	0
"AL157871.6"	0	0	1	1	0	0	0	0
"ANKHD1"	0	0	0	0	0	0	1	1
"ANKRD18CP"	0	0	0	0	0	0	1	1
"ARMCX6"	0	0	0	0	1	0	0	1
"ATP7B"	0	0	1	1	0	0	0	0
"BEND6"	0	0	1	1	0	0	0	0
"C19orf47"	0	0	1	1	0	0	0	0
"C1orf94"	0	0	0	0	0	0	1	1
"CCDC3"	0	0	1	1	0	0	0	0
"CDC42BPA"	0	0	1	1	0	0	0	0
"CDH18"	0	0	1	1	0	0	0	0
"CENPI"	0	0	0	0	0	0	1	1
