,iPSC_2197294_3x,NGN2_2197294_3x,Sy5Y_2197294_3x,sum,,,,,,,,,,,
ARL15,1,1,1,3,,,,,,,,,,,
HDX,1,1,1,3,,,,,,,,,,,
LARP7,1,1,1,3,,,,,,,,,,,
LRRC42,1,1,1,3,,,,,,,,,,,
PDE7A,1,1,1,3,,,,,,,,,,,
POMT2,1,1,1,3,,,,,,,,,,,
STRN3,1,1,1,3,,,,,,,,,,,
TAF2,1,1,1,3,,,,,,,,,,,
ABCB8,1,1,0,2,,,,,,,,,,,
ASAP1,1,0,1,2,,,,,,,,,,,
KDM6A,1,0,1,2,,,,,,,,,,,
LIMCH1,0,1,1,2,,,,,,,,,,,
LINC02210,0,1,1,2,,,,,,,,,,,
MADD,1,0,1,2,,,,,,,,,,,
PHOX2B-AS1,0,1,1,2,,,,,,,,,,,
SKP1,1,1,0,2,,,,,,,,,,,
VDAC3,0,1,1,2,,,,,,,,,,,
ZFP82,1,1,0,2,,,,,,,,,,,
AC136604.3,0,1,0,1,,,,,,,,,,,
AC138894.1,0,1,0,1,,,,,,,,,,,
AL391807.1,0,0,1,1,,,,,,,,,,,
AL589743.1,0,0,1,1,,,,,,,,,,,
ASAP2,0,0,1,1,,,,,,,,,,,
ASCC3,0,1,0,1,,,,,,,,,,,
AXIN1,0,1,0,1,,,,,,,,,,,
CACNA1B,0,0,1,1,,,,,,,,,,,
CEP57,0,1,0,1,,,,,,,,,,,
CLASP2,0,1,0,1,,,,,,,,,,,
CLN3,0,1,0,1,,,,,,,,,,,
DENND1A,0,1,0,1,,,,,,,,,,,
DGKZ,1,0,0,1,,,,,,,,,,,
DHFR,0,1,0,1,,,,,,,,,,,
DLGAP4,0,1,0,1,,,,,,,,,,,
DPF2,1,0,0,1,,,,,,,,,,,
DRG2,1,0,0,1,,,,,,,,,,,
ENAH,0,1,0,1,,,,,,,,,,,
ERGIC3,0,0,1,1,,,,,,,,,,,
EVC,0,1,0,1,,,,,,,,,,,
EXOC6B,0,0,1,1,,,,,,,,,,,
GGA2,1,0,0,1,,,,,,,,,,,
KCNT2,0,0,1,1,,,,,,,,,,,
KIAA1549L,1,0,0,1,,,,,,,,,,,
KLHL1,0,1,0,1,,,,,,,,,,,
LINC00963,0,1,0,1,,,,,,,,,,,
LRP8,0,1,0,1,,,,,,,,,,,
MACF1,0,1,0,1,,,,,,,,,,,
MANBA,0,1,0,1,,,,,,,,,,,
MAOA,0,0,1,1,,,,,,,,,,,
MELTF,0,0,1,1,,,,,,,,,,,
NAV2,1,0,0,1,,,,,,,,,,,
OSBPL6,1,0,0,1,,,,,,,,,,,
PPIP5K1,0,1,0,1,,,,,,,,,,,
RAF1,0,1,0,1,,,,,,,,,,,
RASSF8-AS1,1,0,0,1,,,,,,,,,,,
STXBP5L,0,1,0,1,,,,,,,,,,,
SVOPL,0,1,0,1,,,,,,,,,,,
TRIM65,0,1,0,1,,,,,,,,,,,
TSNARE1,0,0,1,1,,,,,,,,,,,
VPS29,1,0,0,1,,,,,,,,,,,
WDR17,0,1,0,1,,,,,,,,,,,
WDR27,0,0,1,1,,,,,,,,,,,
XPO1,1,0,0,1,,,,,,,,,,,
ZFAND4,1,0,0,1,,,,,,,,,,,
ZNF37BP,0,0,1,1,,,,,,,,,,,
ABCC5,0,0,0,0,,,,,,,,,,,
ABCC8,0,0,0,0,,,,,,,,,,,
ABHD10,0,0,0,0,,,,,,,,,,,
AC004593.2,0,0,0,0,,,,,,,,,,,
AC005400.1,0,0,0,0,,,,,,,,,,,
AC008581.2,0,0,0,0,,,,,,,,,,,
AC009022.1,0,0,0,0,,,,,,,,,,,
AC010642.2,0,0,0,0,,,,,,,,,,,
AC022400.3,0,0,0,0,,,,,,,,,,,
AC022433.1,0,0,0,0,,,,,,,,,,,
AC026786.1,0,0,0,0,,,,,,,,,,,
AC068547.1,0,0,0,0,,,,,,,,,,,
AC084375.1,0,0,0,0,,,,,,,,,,,
AC090825.1,0,0,0,0,,,,,,,,,,,
AC091057.6,0,0,0,0,,,,,,,,,,,
AC093157.1,0,0,0,0,,,,,,,,,,,
AC093752.1,0,0,0,0,,,,,,,,,,,
AC097634.4,0,0,0,0,,,,,,,,,,,
AC104109.3,0,0,0,0,,,,,,,,,,,
AC104304.2,0,0,0,0,,,,,,,,,,,
AC114490.2,0,0,0,0,,,,,,,,,,,
ACADM,0,0,0,0,,,,,,,,,,,
