"TST_ID","Plate_Name","Well","Well_Row","Well_Column","Sample_Name","Sample_Type","Sample_Process","Concentration","Volume","RIN","Organism","Treatment","Status_Time","Sapio_Profile","Sapio_Submission_ID","Sapio_Request_ID","Sapio_Request_Name","Sapio_Plate_ID","Sapio_Plate_Name","Sapio_Sample_ID","Sapio_URL","ID","Intragenic_Rate","Exonic_Rate","Mapping_Rate","Genes_Detected","Mean_Per_Base_Cov.","Estimated_Library_Size","Mapped","Intergenic_Rate","Total_Purity_Filtered_Reads_Sequenced","Intronic_Rate","Fragment_Length_Mean","rRNA_rate","No._Covered_x5p","Duplication_Rate_of_Mapped"
"TST12086","Plate2","A2","A",2,"iPSC-BIO-1755497-10x-1","RNA","ELN Illumina RNA Sequencing",197.6,14,7.53,"Homo sapiens","iPSC_1755497_10x","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913365,"BRP100563",1913445,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913445;view=dataRecord",32277,0.9671006,0.8941238,0.97003126,29616,349.80942,0,240206372,0.032415655,247627458,0.07297684,538,0.0035688772,942,0
"TST12086","Plate2","H3","H",3,"iPSC-BIO-1755497-10x-2","RNA","ELN Illumina RNA Sequencing",50.78,14,9.4,"Homo sapiens","iPSC_1755497_10x","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913365,"BRP100563",1913460,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913460;view=dataRecord",32292,0.9753245,0.90269554,0.9302622,28783,290.0102,0,199207026,0.024137793,214140720,0.07262891,455,0.0072536976,894,0
"TST12086","Plate2","G5","G",5,"iPSC-BIO-1755497-10x-3","RNA","ELN Illumina RNA Sequencing",151.4,14,9.84,"Homo sapiens","iPSC_1755497_10x","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913365,"BRP100563",1913475,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913475;view=dataRecord",32307,0.9691326,0.9089647,0.96403074,27787,301.60757,0,199671057,0.03033932,207121034,0.06016792,511,0.0035467087,918,0
"TST12086","Plate2","F7","F",7,"iPSC-BIO-1755497-10x-4","RNA","ELN Illumina RNA Sequencing",129.1,14,9.57,"Homo sapiens","iPSC_1755497_10x","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913365,"BRP100563",1913490,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913490;view=dataRecord",32322,0.97215277,0.9068832,0.96638846,27977,270.18182,0,179365078,0.02731491,185603490,0.065269634,476,0.004132945,915,0
"TST12086","Plate1","A9","A",9,"iPSC-BIO-1755497-10x-bridge-a","RNA","ELN Illumina RNA Sequencing",126.55,7,9.58,"Homo sapiens","iPSC_1755497_10x_bridge","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913364,"BRP100562",1913431,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913431;view=dataRecord",32263,0.96936965,0.90447134,0.9703652,28221,369.49753,0,241051332,0.030112695,248412998,0.064898275,599,0.0040864125,916,0
"TST12086","Plate2","A9","A",9,"iPSC-BIO-1755497-10x-bridge-b","RNA","ELN Illumina RNA Sequencing",126.55,7,9.58,"Homo sapiens","iPSC_1755497_10x_bridge","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913365,"BRP100563",1913501,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913501;view=dataRecord",32333,0.9747578,0.91197425,0.965233,28981,363.57196,0,242498467,0.024742197,251233066,0.06278351,567,0.0035455364,934,0
"TST12086","Plate3","A9","A",9,"iPSC-BIO-1755497-10x-bridge-c","RNA","ELN Illumina RNA Sequencing",126.55,7,9.58,"Homo sapiens","iPSC_1755497_10x_bridge","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913366,"BRP100564",1913571,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913571;view=dataRecord",32403,0.975333,0.91334885,0.96524477,28933,370.95602,0,245527541,0.02417006,254368160,0.061984178,585,0.003398861,922,0
"TST12086","Plate2","A3","A",3,"iPSC-BIO-1755497-3x-2","RNA","ELN Illumina RNA Sequencing",70.43,14,8.54,"Homo sapiens","iPSC_1755497_3x","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913365,"BRP100563",1913453,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913453;view=dataRecord",32285,0.96418566,0.8867251,0.96950984,29156,319.41193,0,216740072,0.03530147,223556340,0.07746053,520,0.00327118,929,0
"TST12086","Plate2","H4","H",4,"iPSC-BIO-1755497-3x-3","RNA","ELN Illumina RNA Sequencing",175.1,14,10,"Homo sapiens","iPSC_1755497_3x","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913365,"BRP100563",1913468,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913468;view=dataRecord",32300,0.96255034,0.90067804,0.96548074,27386,298.22412,0,196618574,0.03692632,203648372,0.061872367,506,0.00391873,900,0
"TST12086","Plate2","G6","G",6,"iPSC-BIO-1755497-3x-4","RNA","ELN Illumina RNA Sequencing",137.9,14,9.81,"Homo sapiens","iPSC_1755497_3x","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913365,"BRP100563",1913483,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913483;view=dataRecord",32315,0.9653439,0.8999754,0.9637973,27646,272.4504,0,181797122,0.034120508,188625888,0.06536844,477,0.003672131,915,0
"TST12086","Plate1","H8","H",8,"iPSC-BIO-1755497-3x-bridge-a","RNA","ELN Illumina RNA Sequencing",122.8,7,9.68,"Homo sapiens","iPSC_1755497_3x_bridge","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913364,"BRP100562",1913430,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913430;view=dataRecord",32262,0.9683947,0.9005174,0.96950185,27873,321.17645,0,210249775,0.031068152,216863718,0.0678773,553,0.0041928915,924,0
"TST12086","Plate2","H8","H",8,"iPSC-BIO-1755497-3x-bridge-b","RNA","ELN Illumina RNA Sequencing",122.8,7,9.68,"Homo sapiens","iPSC_1755497_3x_bridge","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913365,"BRP100563",1913500,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913500;view=dataRecord",32332,0.9668151,0.8955441,0.9653158,29019,362.76428,0,246279998,0.03265894,255128944,0.07127104,555,0.0043459986,930,0
"TST12086","Plate3","H8","H",8,"iPSC-BIO-1755497-3x-bridge-c","RNA","ELN Illumina RNA Sequencing",122.8,7,9.68,"Homo sapiens","iPSC_1755497_3x_bridge","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913366,"BRP100564",1913570,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913570;view=dataRecord",32402,0.96859664,0.8968224,0.96555215,28757,372.45792,0,249604293,0.030867035,258509382,0.07177422,586,0.00431806,929,0
"TST12086","Plate2","H1","H",1,"iPSC-BIO-2006152-10x-1","RNA","ELN Illumina RNA Sequencing",158.6,14,7.43,"Homo sapiens","iPSC_2006152_10x","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913365,"BRP100563",1913444,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913444;view=dataRecord",32276,0.9628292,0.8818859,0.9689836,29826,339.213,0,240055323,0.0367022,247739314,0.0809433,540,0.0043504643,926,0
"TST12086","Plate2","G3","G",3,"iPSC-BIO-2006152-10x-2","RNA","ELN Illumina RNA Sequencing",48.95,14,8.8,"Homo sapiens","iPSC_2006152_10x","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913365,"BRP100563",1913459,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913459;view=dataRecord",32291,0.97252184,0.88801175,0.9631102,28285,236.40529,0,164919184,0.026948709,171236054,0.08451,433,0.0070680385,906,0
"TST12086","Plate2","F5","F",5,"iPSC-BIO-2006152-10x-3","RNA","ELN Illumina RNA Sequencing",134.1,14,10,"Homo sapiens","iPSC_2006152_10x","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913365,"BRP100563",1913474,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913474;view=dataRecord",32306,0.9687151,0.9097966,0.9673167,27189,261.50616,0,173183894,0.030758237,179035364,0.05891846,471,0.0038966883,893,0
"TST12086","Plate2","E7","E",7,"iPSC-BIO-2006152-10x-4","RNA","ELN Illumina RNA Sequencing",136.4,14,9.65,"Homo sapiens","iPSC_2006152_10x","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913365,"BRP100563",1913489,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913489;view=dataRecord",32321,0.96870387,0.90438426,0.9655509,27555,248.35484,0,164210057,0.030769648,170068786,0.06431959,460,0.0038668825,904,0
"TST12086","Plate1","G8","G",8,"iPSC-BIO-2006152-10x-bridge-a","RNA","ELN Illumina RNA Sequencing",118.45,7,9.51,"Homo sapiens","iPSC_2006152_10x_bridge","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913364,"BRP100562",1913429,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913429;view=dataRecord",32261,0.96532315,0.8982693,0.97095555,27863,320.80026,0,209085965,0.034144994,215340416,0.067053825,552,0.0043710046,924,0
"TST12086","Plate3","G8","G",8,"iPSC-BIO-2006152-10x-bridge-c","RNA","ELN Illumina RNA Sequencing",118.45,7,9.51,"Homo sapiens","iPSC_2006152_10x_bridge","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913366,"BRP100564",1913569,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913569;view=dataRecord",32401,0.9730095,0.9111531,0.9680092,27925,307.4661,0,199946305,0.026455233,206554152,0.0618565,522,0.0041911965,922,0
"TST12086","Plate2","A1","A",1,"iPSC-BIO-2006152-3x-1","RNA","ELN Illumina RNA Sequencing",192.3,14,7.45,"Homo sapiens","iPSC_2006152_3x","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913365,"BRP100563",1913437,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913437;view=dataRecord",32269,0.96689874,0.89273256,0.96925324,30183,381.69858,0,263317535,0.032607533,271670524,0.074166134,565,0.0031743746,928,0
"TST12086","Plate2","H2","H",2,"iPSC-BIO-2006152-3x-2","RNA","ELN Illumina RNA Sequencing",76.42,14,8.56,"Homo sapiens","iPSC_2006152_3x","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913365,"BRP100563",1913452,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913452;view=dataRecord",32284,0.96442753,0.883324,0.9707794,27870,228.31245,0,154309433,0.035053447,158954184,0.081103474,440,0.0039633685,924,0
"TST12086","Plate2","G4","G",4,"iPSC-BIO-2006152-3x-3","RNA","ELN Illumina RNA Sequencing",198,14,9.91,"Homo sapiens","iPSC_2006152_3x","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913365,"BRP100563",1913467,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913467;view=dataRecord",32299,0.9610491,0.9027456,0.9670774,26751,281.52774,0,182316368,0.038423408,188523040,0.058303487,488,0.003256939,892,0
"TST12086","Plate2","F6","F",6,"iPSC-BIO-2006152-3x-4","RNA","ELN Illumina RNA Sequencing",111.3,14,9.41,"Homo sapiens","iPSC_2006152_3x","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913365,"BRP100563",1913482,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913482;view=dataRecord",32314,0.9668607,0.9055531,0.96632606,27683,278.4502,0,181435982,0.032589052,187758554,0.06130764,483,0.0029924922,900,0
"TST12086","Plate1","F8","F",8,"iPSC-BIO-2006152-3x-bridge-a","RNA","ELN Illumina RNA Sequencing",152.2,7,9.8,"Homo sapiens","iPSC_2006152_3x_bridge","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913364,"BRP100562",1913428,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913428;view=dataRecord",32260,0.9681492,0.91064173,0.97189385,27712,363.95618,0,231323584,0.031299274,238013218,0.057507455,578,0.0033036526,912,0
"TST12086","Plate2","F8","F",8,"iPSC-BIO-2006152-3x-bridge-b","RNA","ELN Illumina RNA Sequencing",152.2,7,9.8,"Homo sapiens","iPSC_2006152_3x_bridge","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913365,"BRP100563",1913498,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913498;view=dataRecord",32330,0.9691902,0.910199,0.9654342,27868,304.32166,0,200165640,0.030274568,207332242,0.058991134,504,0.0032146664,906,0
"TST12086","Plate3","F8","F",8,"iPSC-BIO-2006152-3x-bridge-c","RNA","ELN Illumina RNA Sequencing",152.2,7,9.8,"Homo sapiens","iPSC_2006152_3x_bridge","12/19/22 14:55","Biogen_Production",400,1913363,"REQ100368",1913366,"BRP100564",1913568,"https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913568;view=dataRecord",32400,0.967497,0.9039629,0.96779704,27609,311.80624,0,204970994,0.03197457,211791300,0.06353402,532,0.0034360478,903,0
