genesSym,risdplam_3x,Braplam_3x,PTC518_3x
ABCB8,,ABCB8,ABCB8
AC026786.1,,AC026786.1,
AC136604.3,,AC136604.3,AC136604.3
AC138894.1,,AC138894.1,AC138894.1
ADAM17,ADAM17,ADAM17,
APIP,APIP,,
APLP2,APLP2,APLP2,
ARL15,,ARL15,ARL15
ARMH3,,ARMH3,
ASCC3,,ASCC3,ASCC3
AXIN1,,AXIN1,AXIN1
BEND6,BEND6,,
C12orf4,,C12orf4,
C14orf132,,C14orf132,
CACNA1C,,CAC1C,
CACNA1H,CAC1H,,
CACNB4,,CACNB4,
CEP57,,,CEP57
CLASP2,,CLASP2,CLASP2
CLN3,,,CLN3
DENND1A,,DENND1A,DENND1A
DENND4A,,DENND4A,
DENND5A,DENND5A,,
DHFR,,DHFR,DHFR
DLGAP4,,DLGAP4,DLGAP4
ELMO2,,ELMO2,
ENAH,,EH,EH
ENOX1,,ENOX1,
ERCC8,,ERCC8,
EVC,,,EVC
EXOC6B,,EXOC6B,
FAAP20,,FAAP20,
FAM162A,FAM162A,,
FAM174A,FAM174A,,
FBXO7,FBXO7,,
GALC,,GALC,
GGCT,GGCT,,
GPHN,,GPHN,
GXYLT1,,GXYLT1,
HDX,,HDX,HDX
HTT,,HTT,
KDM6A,,KDM6A,
KLHL1,,KLHL1,KLHL1
LARP7,LARP7,LARP7,LARP7
LIMCH1,LIMCH1,LIMCH1,LIMCH1
LIN37,,LIN37,
LINC00963,,,LINC00963
LINC02210,,LINC02210,LINC02210
LRIG2,,LRIG2,
LRP8,,,LRP8
LRRC42,,LRRC42,LRRC42
LYRM1,,LYRM1,
MACF1,,,MACF1
MACROD2,,MACROD2,
MANBA,,MANBA,MANBA
MELTF,,MELTF,
MFN2,MFN2,,
MIR100HG,,MIR100HG,
MORN1,,MORN1,
MYCBP2,,MYCBP2,
NAIP,,IP,
NUP58,,NUP58,
PDE7A,PDE7A,PDE7A,PDE7A
PDXDC1,PDXDC1,,
PDXDC2P,PDXDC2P,,
PHOX2B-AS1,,PHOX2B-AS1,PHOX2B-AS1
PLAGL1,PLAGL1,,
PNISR,,PNISR,
POMT2,POMT2,POMT2,POMT2
PPIP5K1,,PPIP5K1,PPIP5K1
RAB3IP,,RAB3IP,
RAF1,RAF1,RAF1,RAF1
RAPGEF1,RAPGEF1,,
RBBP8,,RBBP8,
RP11-419C5.1,RP11-419C5.1,,
RP3-449O17.1,RP3-449O17.1,,
RP3-449O17.1;RP1-5O6.7,RP3-449O17.1;RP1-5O6.7,,
RPL8,RPL8,,
SENP6,SENP6,SENP6,
SERGEF,,SERGEF,
SETX,,SETX,
SKP1,,SKP1,SKP1
SLC25A17,SLC25A17,SLC25A17,
SLC7A6,SLC7A6,,
SMN2,SMN2,,
SNAP23,SP23,,
SNHG12,,SNHG12,
ST6GALNAC4,,ST6GALC4,
STRN,,STRN,
STRN3,STRN3,STRN3,STRN3
STXBP5L,,STXBP5L,STXBP5L
SULF1,,SULF1,
SVOPL,,,SVOPL
TAF2,,TAF2,TAF2
TENT2,,TENT2,
TET1,,TET1,
TIAM1,,TIAM1,
TMEM50B,,TMEM50B,
TRAPPC13,,TRAPPC13,
TRIM65,,TRIM65,TRIM65
VDAC3,,,VDAC3
WDR17,,WDR17,WDR17
WDR27,,WDR27,
WDR91,WDR91,,
XRN2,XRN2,XRN2,
ZFP82,,ZFP82,ZFP82
ZMYM6,,ZMYM6,
ZNF44,ZNF44,,
ZNF577,ZNF577,,
ZNF618,,ZNF618,
