ensembl_gene_id	gene_id	V1	V4	V5	V7	baseMean	log2FoldChange	FoldChange	stat	pvalue	padj	Sy5Y_2197294_3x_4	Sy5Y_2197294_3x_3	Sy5Y_2197294_3x_2	Sy5Y_DMSO_3	Sy5Y_DMSO_4	Sy5Y_DMSO_2
ENSG00000162687.18	NA	NA	NA	NA	NA	744.054800823861	-1.81145143887973	0.284904153843089	-8.5336585275961	0.0000000000000000141790939235443	0.000000000000257378912900175	360	410	736	1913	2012	2114
ENSG00000197386.12	NA	NA	NA	NA	NA	10358.7257773362	-1.35878792535828	0.389909733410648	-7.99012346727097	0.00000000000000134803678375185	0.0000000000122347818493318	4128	5746	6907	16793	16591	16169
ENSG00000152475.7	NA	NA	NA	NA	NA	221.164377623541	1.19745162439508	2.29334217192408	7.77815362894453	0.0000000000000073590670304368	0.0000000000445272615788296	311	260	278	155	135	136
ENSG00000183793.14	NA	NA	NA	NA	NA	332.020999203838	-2.4340037683078	0.18505117889719	-7.08282710741372	0.00000000000141242851849819	0.0000000064096006169448	8	12	11	62	70	61
ENSG00000113845.10	NA	NA	NA	NA	NA	4992.93573673795	0.252615357966781	1.19136489821356	6.23612489962601	0.000000000448543021259735	0.00000162839058438134	6975	6207	7223	6538	6476	6675
ENSG00000223591.5	CENPVL1	chrX	51710512	51712131	+	105.204077456757	16.6090644084692	99960.0781207757	6.09566371557143	0.00000000108984308096335	0.00000329713860094112	1	0	2	0	0	0
ENSG00000103064.15	NA	NA	NA	NA	NA	4320.16159841795	-0.42957050974995	0.742482789510116	-5.92451416805059	0.0000000031322200667009	0.00000775263088871477	4109	3972	4931	6447	7018	6669
ENSG00000153317.15	NA	NA	NA	NA	NA	11563.1676077381	-0.338176058539716	0.791040761046693	-5.91020795631487	0.00000000341676107920439	0.00000775263088871477	14555	14021	15850	21224	21283	22099
ENSG00000120471.15	TP53AIP1	chr11	128934731	128943399	-	35.5021224314514	3.81613064740955	14.0854197050546	5.88658745443836	0.00000000394251180419183	0.00000795160825218779	50	15	34	1	2	5
ENSG00000130283.9	NA	NA	NA	NA	NA	41.2254879303334	-30.0111895659295	0.00000000092412716169465	-5.84186043009734	0.00000000516210477831678	0.00000937025259360062	0	0	0	0	74	0
