chr,strand,geneSymbol,GeneID,Event,Algorithm,FDR,PValue,dPSI,M,PSI_1,PSI_2,Event_info,Annotation_leafcutter,Cutoff_dPSI,Event_type,Junc_coords,PdPSI
chr4,-,MANBA,ENSG00000109323.11,A3SS,rmats,0.00607841176889,1.8958577974e-05,-0.487,73.3333333333333,0.513333333333333,1,longExonStart_0base:102664684|longExonEnd:102669049|shortES:102664684|shortEE:102664852|flankingES:102671280|flankingEE:102671398|IJC_SAMPLE_1:85;63;72|SJC_SAMPLE_1:2;1;2|IJC_SAMPLE_2:86;56;77|SJC_SAMPLE_2:0;0;0|IncFormLen:4296|SkipFormLen:99|PSI_1_persub:0.495;0.592;0.453|PSI_2_persub:1.0;1.0;1.0,,NA,,,NA
chr1,-,LRP8,ENSG00000157193.18,A3SS,rmats,0.000411358915863,7.19436995422e-07,-0.338,200.333333333333,0.628666666666667,0.966333333333333,longExonStart_0base:53255116|longExonEnd:53257464|shortES:53255116|shortEE:53255185|flankingES:53260463|flankingEE:53260605|IJC_SAMPLE_1:236;167;198|SJC_SAMPLE_1:7;10;1|IJC_SAMPLE_2:184;214;186|SJC_SAMPLE_2:0;1;0|IncFormLen:2378|SkipFormLen:99|PSI_1_persub:0.584;0.41;0.892|PSI_2_persub:1.0;0.899;1.0,,NA,,,NA
chr8,-,PDE7A,ENSG00000205268.11,SE,rmats,0,0,-0.455,116.666666666667,0.00966666666666667,0.464666666666667,exonStart_0base:65780843|exonEnd:65780947|upstreamES:65779719|upstreamEE:65779803|downstreamES:65782782|downstreamEE:65782843|IJC_SAMPLE_1:4;1;2|SJC_SAMPLE_1:130;124;96|IJC_SAMPLE_2:111;123;106|SJC_SAMPLE_2:39;78;85|IncFormLen:203|SkipFormLen:99|PSI_1_persub:0.015;0.004;0.01|PSI_2_persub:0.581;0.435;0.378,,NA,,,NA
chr14,-,POMT2,ENSG00000009830.11,SE,rmats,0,0,-0.446,166.333333333333,0.00766666666666667,0.454,exonStart_0base:77287232|exonEnd:77287271|upstreamES:77286747|upstreamEE:77286822|downstreamES:77288761|downstreamEE:77288831|IJC_SAMPLE_1:1;2;2|SJC_SAMPLE_1:199;144;156|IJC_SAMPLE_2:99;117;109|SJC_SAMPLE_2:87;85;110|IncFormLen:138|SkipFormLen:99|PSI_1_persub:0.004;0.01;0.009|PSI_2_persub:0.449;0.497;0.416,,NA,,,NA
chr4,+,WDR17,ENSG00000150627.15,SE,rmats,5.55659312145e-07,4.11792377975e-10,-0.429,63.3333333333333,0.380333333333333,0.809666666666667,exonStart_0base:176096462|exonEnd:176096585|upstreamES:176065980|upstreamEE:176066079|downstreamES:176111574|downstreamEE:176111703|IJC_SAMPLE_1:26;15;14|SJC_SAMPLE_1:19;11;10|IJC_SAMPLE_2:50;82;58|SJC_SAMPLE_2:4;11;6|IncFormLen:222|SkipFormLen:99|PSI_1_persub:0.379;0.378;0.384|PSI_2_persub:0.848;0.769;0.812,,NA,,,NA
chr7,+,ABCB8,ENSG00000197150.12,SE,rmats,0,0,-0.456,98.6666666666667,0.0183333333333333,0.474,exonStart_0base:151031240|exonEnd:151031291|upstreamES:151028449|upstreamEE:151028610|downstreamES:151033604|downstreamEE:151033917|IJC_SAMPLE_1:1;2;5|SJC_SAMPLE_1:103;108;85|IJC_SAMPLE_2:86;105;68|SJC_SAMPLE_2:49;75;66|IncFormLen:150|SkipFormLen:99|PSI_1_persub:0.006;0.012;0.037|PSI_2_persub:0.537;0.48;0.405,,NA,,,NA
chr8,-,TAF2,ENSG00000064313.12,SE,rmats,0,0,-0.341,257.333333333333,0.023,0.364,exonStart_0base:119744880|exonEnd:119745036|upstreamES:119744287|upstreamEE:119744393|downstreamES:119746704|downstreamEE:119746934|IJC_SAMPLE_1:10;22;10|SJC_SAMPLE_1:261;234;196|IJC_SAMPLE_2:249;254;269|SJC_SAMPLE_2:179;166;179|IncFormLen:255|SkipFormLen:99|PSI_1_persub:0.015;0.035;0.019|PSI_2_persub:0.351;0.373;0.368,,NA,,,NA
chr20,+,DLGAP4,ENSG00000080845.17,SE,rmats,0,0,-0.312,1056.66666666667,0.0193333333333333,0.331333333333333,exonStart_0base:36499241|exonEnd:36499321|upstreamES:36496704|upstreamEE:36497066|downstreamES:36499587|downstreamEE:36499676|IJC_SAMPLE_1:40;33;41|SJC_SAMPLE_1:1142;1025;1003|IJC_SAMPLE_2:611;734;686|SJC_SAMPLE_2:799;776;691|IncFormLen:179|SkipFormLen:99|PSI_1_persub:0.019;0.017;0.022|PSI_2_persub:0.297;0.343;0.354,,NA,,,NA
chr20,+,DLGAP4,ENSG00000080845.17,SE,rmats,0,0,-0.728,348.333333333333,0.219,0.946666666666667,exonStart_0base:36499241|exonEnd:36499321|upstreamES:36496704|upstreamEE:36497066|downstreamES:36500198|downstreamEE:36500611|IJC_SAMPLE_1:22;18;19|SJC_SAMPLE_1:43;29;48|IJC_SAMPLE_2:302;384;359|SJC_SAMPLE_2:3;21;11|IncFormLen:179|SkipFormLen:99|PSI_1_persub:0.221;0.256;0.18|PSI_2_persub:0.982;0.91;0.948,,NA,,,NA
chr4,+,LARP7,ENSG00000174720.16,SE,rmats,0,0,-0.381,125.666666666667,0.0193333333333333,0.400333333333333,exonStart_0base:112637643|exonEnd:112637787|upstreamES:112637125|upstreamEE:112637239|downstreamES:112644667|downstreamEE:112644871|IJC_SAMPLE_1:5;2;10|SJC_SAMPLE_1:143;131;103|IJC_SAMPLE_2:96;157;117|SJC_SAMPLE_2:83;62;80|IncFormLen:243|SkipFormLen:99|PSI_1_persub:0.014;0.006;0.038|PSI_2_persub:0.32;0.508;0.373,,NA,,,NA
